npsn,name,address,village,kecamatan,lat,lng,jenjang,student_count,st_male,st_female
69827179,KB LESTARI,JL. H. HASAN ARIEF PERUM SUKASENANG,Pamekarsari,Banyuresmi,,,PAUD,25,16,9
69867450,KB MIFTAHUL FALAH,CIPARAHU TR 01 RW 04,Cimareme,Banyuresmi,,,PAUD,16,7,9
69827325,KB MIFTAHUL HUDA,KP. KAMANCINGAN,Sukakarya,Banyuresmi,,,PAUD,12,4,8
69956743,KB MINHAJUL KAROMAH,Kp. Sikluk Rt.02/Rw.08,Karyasari,Banyuresmi,,,PAUD,31,18,13
69827271,KB NURHASANAH,Kp. Tegal Kalapa RT 02 RW 12,Sukasenang,Banyuresmi,,,PAUD,59,30,29
69867446,KB NURHIDAYAH I,WARUGA I,Binakarya,Banyuresmi,,,PAUD,12,4,8
69867447,KB NURHIDAYAH II,ADIWINATA / BALAKASAP,Binakarya,Banyuresmi,,,PAUD,24,14,10
69996253,KB PELANGI AL-HIKMAH,KP. WARUGA 1 RT. 01 RW. 06,Binakarya,Banyuresmi,,,PAUD,23,11,12
69827321,KB PERSIS AL MARJAN,BURUNGAYUN,Sukakarya,Banyuresmi,,,PAUD,25,9,16
69827303,KB YAKHA,JL. K.H. MAOLANI KP CIMAREME,Cimareme,Banyuresmi,,,PAUD,17,7,10
69827290,PAUD AL AJRA,HASAN ARIEF KP. CIPICNG,Cipicung,Banyuresmi,,,PAUD,37,21,16
69827349,PAUD AL JIHAD,BANTARJATI,Bagendit,Banyuresmi,,,PAUD,23,14,9
69827101,PAUD AL-MAARIFUL AWWALIYAH,KIARALAWANG,Sukamukti,Banyuresmi,,,PAUD,34,19,15
69827275,PAUD AL-MAKMUR,CILOLOHAN,Sukasenang,Banyuresmi,,,PAUD,25,11,14
69827183,PAUD KHADIJAH,DUNGUSHOE RT 01 RW 11,Sukaratu,Banyuresmi,,,PAUD,27,15,12
69827105,PAUD MELATI,BABAKAN BARU,Cipicung,Banyuresmi,,,PAUD,17,8,9
69827298,PAUD MIFTAHUL HUDA,SUKASARI RT 01 RW 10,Sukamukti,Banyuresmi,,,PAUD,39,14,25
69827202,PAUD MUTIARA INSANI,KP. MALEER RT 01/14,Sukasenang,Banyuresmi,,,PAUD,22,9,13
69827343,PAUD NURUL HUDA,JOLOK PAOJAN,Sukaratu,Banyuresmi,,,PAUD,43,22,21
69956961,PAUD PANDRIANA,KP.  PATROL RT. 02/05,Sukakarya,Banyuresmi,,,PAUD,38,18,20
69827243,PAUD RIYADHUSHOLIHIN,KP. BABAKAN PAMEUNGPEUK,Banyuresmi,Banyuresmi,,,PAUD,26,20,6
69827207,PAUD SABILULUNGAN,TEUREUP,Sukakarya,Banyuresmi,,,PAUD,36,18,18
